tool_name,name,model_id_string,input_usd_per_m,output_usd_per_m,pricing_unit,context_window,best_for,last_verified,position,score_text_generation,score_email_writing,score_logic,score_coding,score_image_generation,score_accuracy,score_write_edit,score_summarization,score_research_fact_check,score_source_quality,score_hallucination_resistance,score_meetings_transcription,score_coding_speed,score_coding_efficiency,score_translation_speed,score_translation_accuracy,score_consistency,free_to_try,write_edit_score,summarisation_score,research_fact_checking_score,source_quality_score,hallucination_resistance_score,deep_research_score,coding_speed_score,coding_accuracy_score,debugging_score,agentic_coding_score,consistency_score,reasoning_score,image_quality_score,prompt_adherence_score,text_rendering_score,image_editing_score,transcription_score,meeting_summary_score,follow_up_score,translation_accuracy_score,translation_speed_score
ChatGPT,GPT-5.5,gpt-5.5,5,30,per 1M tokens,,flagship; most capable,2026-06-09,1,9,9,6,8,8,7,9,9,5,2,7,1,9,4,1,9,6,true,9,9,5,2,7,8,9,9,4,4,9,6,5,5,5,6,1,9,4,9,1
ChatGPT,GPT-5.4,gpt-5.4,2.5,15,per 1M tokens,,strong all-rounder at a lower price,2026-06-09,2,8,8,7,9,7,7,8,9,9,8,6,1,10,10,10,9,6,false,8,9,9,8,6,8,10,10,9,9,6,7,5,9,4,10,1,9,3,9,10
ChatGPT,GPT-5.4 Nano,gpt-5.4-nano,0.2,1.25,per 1M tokens,,fastest and cheapest,2026-06-09,3,8,8,10,9,6,8,8,9,8,7,8,1,10,9,3,9,8,true,8,9,8,7,8,5,10,10,9,8,8,10,6,9,6,7,1,9,5,9,3
Claude,Claude Fable 5,claude-fable-5,10,50,per 1M tokens,1000000,most capable; premium price,2026-05-26,1,9,,9,9,,9,4,9,4,7,4,9,8,9,7,6,5,true,7,10,4,4,10,7,5,9,8,10,9,4,10,5,5,7,9,8,8,8,5
Claude,Claude Opus 4.8,claude-opus-4-8,5,25,per 1M tokens,1000000,"top tier for long, complex work",2026-05-26,2,9,8,10,9,,8,8,10,8,7,8,1,9,10,1,10,7,true,8,10,8,7,8,8,9,9,10,8,7,10,9,9,7,7,1,9,4,10,1
Claude,Claude Sonnet 4.6,claude-sonnet-4-6,3,15,per 1M tokens,1000000,best speed / cost balance,2026-05-26,3,6,5,10,9,,8,5,9,9,7,8,1,10,5,3,9,9,false,5,9,9,7,8,8,10,10,9,8,9,10,6,5,4,10,1,9,5,9,3
Claude,Claude Haiku 4.5,claude-haiku-4-5,1,5,per 1M tokens,200000,fastest and cheapest,2026-05-26,4,8,8,10,9,,7,8,9,5,6,8,1,9,4,6,9,6,false,8,9,5,6,8,6,9,9,8,8,6,10,4,7,10,5,1,9,5,9,6
DeepSeek,DeepSeek V4 Pro,deepseek-v4-pro,1.74,3.48,per 1M tokens,1000000,strongest reasoning,2026-06-09,1,8,8,10,8,,8,8,9,8,8,8,1,8,9,2,10,9,false,8,9,8,8,8,8,8,10,8,8,9,10,6,9,7,5,1,9,2,10,2
DeepSeek,DeepSeek V4 Flash,deepseek-v4-flash,0.14,0.28,per 1M tokens,1000000,everyday tasks at minimal cost,2026-06-09,2,7,7,6,9,,7,7,9,6,7,7,1,10,4,9,9,8,false,7,9,6,7,7,7,10,10,6,8,8,6,8,5,8,9,1,8,3,9,9
Google Gemini,Gemini 3.1 Pro (preview),gemini-3.1-pro-preview,2,12,per 1M tokens,,most capable; still in preview,2026-06-09,1,7,8,7,1,,6,8,9,5,4,6,1,1,8,3,10,1,true,8,9,5,4,6,8,1,1,8,1,1,7,7,4,5,7,1,9,5,10,3
