tool_name,model_name,model_id_string,performance_score,avg_total_tokens,db_api_input_usd_per_m,db_api_output_usd_per_m,pulled_api_input_usd_per_m,pulled_api_output_usd_per_m,api_pricing_unit,api_matched_model_id,api_source_url,api_confidence,api_notes,usage_price_usd,usage_unit,usage_source_url,usage_confidence,usage_notes,api_blended_usd_per_m,estimated_avg_call_cost_usd_blended,estimated_api_performance_per_dollar,estimated_api_cost_per_score_point_usd,subscription_plan_name,subscription_effective_monthly_usd,subscription_monthly_usd,subscription_annualized_monthly_usd,subscription_annual_usd,subscription_one_time_usd,subscription_source_url,subscription_confidence,subscription_notes,subscription_performance_per_monthly_dollar,subscription_cost_per_score_point_usd,audit_notes
AI21 Jamba,Jamba Large 1.7,jamba-large-1.7,6.17,,2,8,2,8,per 1M tokens,ai21/jamba-large-1.7,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,5,,,,Usage-based API,,,,,,https://www.ai21.com,medium,No fixed consumer subscription identified.,,,"No average token usage, so API price-per-performance is blank."
Amazon Nova,Nova Premier,nova-premier-v1,6.88,,2.5,12.5,2.5,12.5,per 1M tokens,nova-premier-v1,https://aws.amazon.com/nova/pricing/,high,,,,,,,7.5,,,,Usage-based API,,,,,,https://aws.amazon.com/ai/generative-ai/nova/,medium,No fixed consumer subscription identified.,,,"No average token usage, so API price-per-performance is blank."
Amazon Nova,Nova Pro,nova-pro-v1,6.51,,0.8,3.2,0.8,3.2,per 1M tokens,nova-pro-v1,https://aws.amazon.com/nova/pricing/,high,,,,,,,2,,,,Usage-based API,,,,,,https://aws.amazon.com/ai/generative-ai/nova/,medium,No fixed consumer subscription identified.,,,"No average token usage, so API price-per-performance is blank."
ChatGPT,GPT-5.5,gpt-5.5,6.29,414.4,5,30,5,30,per 1M tokens,gpt-5.5,https://openai.com/api/pricing/,high,,,,,,,17.5,0.00725200,867.35,0.00115294,ChatGPT Plus,20,20,,,,https://chatgpt.com/pricing/,medium,Consumer plan; model access has usage limits and can vary by account/region.,0.3145,3.1797,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
ChatGPT,GPT-5.4,gpt-5.4,7.24,392.7,2.5,15,2.5,15,per 1M tokens,gpt-5.4,https://openai.com/api/pricing/,high,,,,,,,8.75,0.00343612,2107.02,0.00047460,ChatGPT Plus,20,20,,,,https://chatgpt.com/pricing/,medium,Consumer plan; model access has usage limits and can vary by account/region.,0.3620,2.7624,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
ChatGPT,GPT-5.4 Nano,gpt-5.4-nano,7.15,396.1,0.2,1.25,0.2,1.25,per 1M tokens,openai/gpt-5.4-nano,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,0.725,0.00028717,24897.93,0.00004016,ChatGPT Plus,20,20,,,,https://chatgpt.com/pricing/,medium,Consumer plan; model access has usage limits and can vary by account/region.,0.3575,2.7972,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
Claude,Claude Fable 5,claude-fable-5,,,10,50,10,50,per 1M tokens,anthropic/claude-fable-5,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,30,,,,Claude Pro,20,20,16.6667,200,,https://support.claude.com/en/articles/11049762-choose-a-claude-plan,high,Max plans are also available at higher monthly prices.,,,"Unscored/unavailable locally; price present but performance value cannot be calculated. No average token usage, so API price-per-performance is blank."
Claude,Claude Opus 4.8,claude-opus-4-8,7.59,584.7,5,25,5,25,per 1M tokens,anthropic/claude-opus-4.8,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,15,0.00877050,865.40,0.00115553,Claude Pro,20,20,16.6667,200,,https://support.claude.com/en/articles/11049762-choose-a-claude-plan,high,Max plans are also available at higher monthly prices.,0.3795,2.6350,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
Claude,Claude Sonnet 4.6,claude-sonnet-4-6,7.33,432.1,3,15,3,15,per 1M tokens,anthropic/claude-sonnet-4.6,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,9,0.00388890,1884.85,0.00053055,Claude Pro,20,20,16.6667,200,,https://support.claude.com/en/articles/11049762-choose-a-claude-plan,high,Max plans are also available at higher monthly prices.,0.3665,2.7285,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
Claude,Claude Haiku 4.5,claude-haiku-4-5,7.21,434.5,1,5,1,5,per 1M tokens,anthropic/claude-haiku-4.5,https://openrouter.ai/api/v1/models,medium,Pulled from OpenRouter model catalogue; provider-specific direct pricing should be preferred before import.,,,,,,3,0.00130350,5531.26,0.00018079,Claude Pro,20,20,16.6667,200,,https://support.claude.com/en/articles/11049762-choose-a-claude-plan,high,Max plans are also available at higher monthly prices.,0.3605,2.7739,Average token total only; API cost uses blended input/output price until prompt/completion token splits are stored.
