name,provider,website_url,status,last_verified,data_pricing_confidence,input_usd_per_m,output_usd_per_m,pricing_unit,price_low_usd,price_high_usd,context_window,api_free_tier,consumer_free_app,data_retention,runs_locally,privacy_label,price_label,ease_label,why_this_one,ease_score,privacy_score,score_text_generation,score_email_writing,score_logic,score_coding,score_image_generation,score_accuracy,categories,prompt_effort_score,interface_score,learning_curve_score,integration_score,data_retention_score,training_on_user_data_score,security_certifications_score,privacy_controls_score,enterprise_controls_score,deployment_flexibility_score,support_sla_score,has_web_search,shows_citations,has_file_uploads,has_image_uploads,has_voice_mode,supports_model_selection,has_image_generation,has_image_editing,has_video_generation,has_audio_generation,has_presentation_generation,has_coding_agent,has_code_execution,has_repository_access,has_deep_research,has_live_data_access,has_transcription,has_meeting_bot,has_action_items,has_api,has_mobile_app,has_desktop_app,has_browser_extension,has_calendar_integration,has_email_integration,has_workspace_integration,has_free_plan,has_paid_plan,has_team_plan,has_enterprise_plan,supports_sso,supports_scim,has_audit_logs,has_admin_controls,has_soc2,has_iso27001,has_dpa,gdpr_ready,hipaa_eligible,no_training_on_user_data,configurable_data_retention
ChatGPT,OpenAI,https://chatgpt.com,live,2026-06-03,medium,2.5,10,per 1M tokens,,,128000,no,yes,optional,no,you can turn off chat history & training,free tier; Plus is ~$20/mo,just open it and type,They are awful,,,,,,,,,"chat-assistant,write-things,summarize,code",4,8,8,4,4,4,6,10,10,9,7,true,false,true,false,true,true,false,false,false,false,true,false,false,true,true,true,true,true,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,true,false,false,true,false,true,false,false
Claude,Anthropic,https://claude.ai,live,2026-06-03,medium,3,15,per 1M tokens,,,200000,no,yes,optional,no,doesn't train on your chats by default,free tier; Pro is ~$20/mo,just open it and type,Especially good at longer writing careful reasoning and working through big documents in one go.,,,,,,,,,"chat-assistant,write-things,summarize,code",9,9,10,10,4,5,4,9,10,5,8,false,false,true,true,false,true,true,false,false,false,false,true,false,true,false,true,false,true,true,true,false,false,false,true,true,true,false,true,true,true,false,true,true,false,false,true,false,false,true,false,true
Google Gemini,Google,https://gemini.google.com,live,2026-06-03,medium,1.25,5,per 1M tokens,,,1000000,yes,yes,optional,no,review activity settings to limit data use,free tier; Advanced via Google One,just open it and type,Handy if you live in Gmail Docs and Android. Huge context window for very long inputs.,,,,,,,,,"chat-assistant,write-things,research,summarize",7,5,8,9,9,7,7,4,5,8,9,true,true,true,true,true,false,true,true,false,true,false,false,false,false,false,true,false,true,false,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,false,true,false,true,false,true,true
Microsoft Copilot,Microsoft,https://copilot.microsoft.com,live,2026-06-03,low,,,,,,,no,yes,optional,no,enterprise data protections on work accounts,free; Pro is ~$20/mo,built into Windows and Office,Convenient if you already use Windows and Microsoft 365 — it sits right inside the apps you have.,,,,,,,,,"chat-assistant,write-things,summarize",,,,,,,,,,,,true,false,true,false,false,true,true,false,false,true,false,false,false,false,false,true,true,true,false,true,false,true,false,false,true,false,true,false,true,true,false,true,true,false,false,true,true,true,true,false,true
Perplexity,Perplexity AI,https://perplexity.ai,live,2026-06-03,low,,,,,,,no,yes,optional,no,can opt out of data used for training,free; Pro is ~$20/mo,works like a smarter search engine,Best when you want answers with sources cited — it searches the live web and shows where facts came from.,,,,,,,,,"research,chat-assistant,summarize",,,,,,,,,,,,true,true,true,false,true,false,true,false,true,false,true,false,true,false,false,true,false,true,false,true,false,true,true,true,false,false,true,true,true,true,false,false,true,false,false,false,true,true,true,false,true
GitHub Copilot,GitHub,https://github.com/features/copilot,live,2026-06-03,medium,,,,,,,no,yes,optional,no,code suggestions not retained on paid tiers,free tier; Pro is ~$10/mo,installs into your code editor,The most established coding helper — autocompletes code right inside VS Code and other editors.,,,,,,,,,code,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true
Cursor,Anysphere,https://cursor.com,live,2026-06-03,low,,,,,,,no,yes,optional,no,privacy mode keeps code off their servers,free tier; Pro is ~$20/mo,a full code editor — some setup,An AI-first code editor that understands your whole project. A favourite of serious developers.,,,,,,,,,code,,,,,,,,,,,,true,false,true,true,true,true,false,false,false,false,true,false,false,false,false,false,true,false,true,true,true,true,true,true,true,false,true,false,false,false,true,true,false,true,true,false,false,true,false,false,true
Whisper,OpenAI,https://github.com/openai/whisper,live,2026-06-03,high,,,,,,,yes,no,none,yes,runs on your own machine — nothing leaves it,free and open source,a bit techy: needs the command line,Open-source transcription you can run entirely offline. Nothing is uploaded — ideal for sensitive interviews.,,,,,,,,,audio-to-text,10,9,9,4,8,10,9,6,5,10,6,false,false,true,false,false,false,false,false,false,true,true,true,true,false,false,false,true,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,true,false,true,false,false,false
MacWhisper,Good Snooze,https://goodsnooze.gumroad.com/l/macwhisper,live,2026-06-03,low,,,,,,,no,yes,none,yes,transcribes locally on your Mac,free tier; Pro is a one-off ~$60,friendly app — drag in a file,Whisper's accuracy wrapped in a simple Mac app. Local transcription without touching the command line.,,,,,,,,,audio-to-text,,,,,,,,,,,,true,true,true,true,true,true,false,false,true,false,true,true,true,true,false,false,true,false,false,true,false,true,true,false,false,false,true,false,false,true,false,true,true,true,true,true,false,false,true,false,true
Otter.ai,Otter.ai,https://otter.ai,live,2026-06-03,low,,,,,,,no,yes,yes,no,stores your recordings on their servers,free tier; Pro is ~$17/mo,polished app — records meetings live,Great for live meeting notes and speaker labels. Note it keeps your recordings in the cloud.,,,,,,,,,"audio-to-text,summarize",,,,,,,,,,,,false,false,true,false,true,true,true,false,true,false,false,false,false,true,true,true,true,true,false,false,false,true,false,false,true,false,true,false,true,false,true,true,false,true,false,false,true,false,true,true,true
